Step,Reward
2048.0,-254.6996841430664
2560.0,-219.37583923339844
3072.0,-288.3568369547526
3584.0,-397.9298044840495
4096.0,-380.63158925374347
4608.0,-261.99279022216797
5120.0,-319.5820058186849
5632.0,-290.094487508138
6144.0,-315.87610880533856
6656.0,-294.051752726237
7168.0,-350.2114715576172
7680.0,-284.3097178141276
8192.0,-239.2170384724935
8704.0,-275.6501973470052
9216.0,-279.9059753417969
9728.0,-339.88739013671875
10240.0,-314.86268615722656
10752.0,-301.6486002604167
11264.0,-309.0539296468099
11776.0,-284.7026824951172
12288.0,-334.11081949869794
12800.0,-278.17847696940106
13312.0,-270.6051940917969
13824.0,-325.11859130859375
14336.0,-462.1045227050781
14848.0,-248.67414347330728
15360.0,-294.54322306315106
15872.0,-256.9085642496745
16384.0,-293.1099344889323
16896.0,-319.97802734375
17408.0,-273.9717280069987
17920.0,-254.64117431640625
18432.0,-276.15093994140625
18944.0,-334.12718709309894
19456.0,-293.60297139485675
19968.0,-330.43687438964844
20480.0,-289.28554280598956
20992.0,-272.9473368326823
21504.0,-302.27533467610675
22016.0,-261.17698669433594
22528.0,-309.1079457600911
23040.0,-278.5646718343099
23552.0,-241.3154551188151
24064.0,-257.77430216471356
24576.0,-250.82890828450522
25088.0,-265.6609395345052
25600.0,-293.48076883951825
26112.0,-235.61424255371094
26624.0,-246.51415506998697
27136.0,-275.14561716715497
27648.0,-306.1737060546875
28160.0,-280.92212931315106
28672.0,-319.42352294921875
29184.0,-233.55668131510416
29696.0,-265.31370798746747
30208.0,-232.1406453450521
30720.0,-318.6704966227214
31232.0,-264.31635030110675
31744.0,-238.6444295247396
32256.0,-270.5382843017578
32768.0,-273.10741170247394
33280.0,-322.9186553955078
33792.0,-266.0347366333008
34304.0,-224.56495666503906
34816.0,-230.25530497233072
35328.0,-275.5669199625651
35840.0,-302.53370157877606
36352.0,-243.8684539794922
36864.0,-230.88109334309897
37376.0,-251.73062133789062
37888.0,-246.31005859375
38400.0,-224.66673787434897
38912.0,-275.43226623535156
39424.0,-291.5446370442708
39936.0,-194.7503916422526
40448.0,-254.3772735595703
40960.0,-315.65952555338544
41472.0,-331.8214111328125
41984.0,-229.90218098958334
42496.0,-261.1449788411458
43008.0,-252.78690592447916
43520.0,-320.36602274576825
44032.0,-248.94983927408853
44544.0,-241.66001637776694
45056.0,-295.5533447265625
45568.0,-243.18860880533853
46080.0,-306.8441874186198
46592.0,-288.3676045735677
47104.0,-286.7093760172526
47616.0,-275.1624984741211
48128.0,-250.77199045817056
48640.0,-247.5316416422526
49152.0,-330.56988016764325
49664.0,-293.3232828776042
50176.0,-417.37355550130206
50688.0,-271.7209218343099
51200.0,-301.6408386230469
51712.0,-321.8623860677083
52224.0,-339.3185577392578
52736.0,-314.4025370279948
53248.0,-289.9246470133464
53760.0,-237.04027303059897
54272.0,-412.54234822591144
54784.0,-291.6225992838542
55296.0,-322.76698811848956
55808.0,-395.26792399088544
56320.0,-270.0599772135417
56832.0,-362.4601593017578
57344.0,-309.44663492838544
57856.0,-279.1318105061849
58368.0,-275.61814880371094
58880.0,-311.87591044108075
59392.0,-255.27340698242188
59904.0,-242.52538553873697
60416.0,-252.28036499023438
60928.0,-307.6105092366536
61440.0,-344.3890889485677
61952.0,-257.81577555338544
62464.0,-242.56163024902344
62976.0,-301.68212890625
63488.0,-253.6077677408854
64000.0,-285.0069986979167
64512.0,-310.82398986816406
65024.0,-286.8678487141927
65536.0,-195.98956807454428
66048.0,-267.2200876871745
66560.0,-301.78069559733075
67072.0,-204.86845906575522
67584.0,-303.5640360514323
68096.0,-281.92527770996094
68608.0,-312.5305480957031
69120.0,-263.0239562988281
69632.0,-268.67469278971356
70144.0,-277.04493204752606
70656.0,-299.4119466145833
71168.0,-286.0209503173828
71680.0,-288.6440836588542
72192.0,-278.5006357828776
72704.0,-356.19179280598956
73216.0,-275.64111328125
73728.0,-344.9029947916667
74240.0,-256.3406524658203
74752.0,-353.75579833984375
75264.0,-256.59791056315106
75776.0,-243.9120839436849
76288.0,-261.5804087320964
76800.0,-430.21361287434894
77312.0,-349.3601481119792
77824.0,-294.6481475830078
78336.0,-334.36522420247394
78848.0,-391.0723571777344
79360.0,-293.98309326171875
79872.0,-357.8177795410156
80384.0,-271.24835205078125
80896.0,-216.8917439778646
81408.0,-272.52569071451825
81920.0,-255.8886515299479
82432.0,-372.9215087890625
82944.0,-347.5219319661458
83456.0,-266.0766423543294
83968.0,-240.73568216959634
84480.0,-271.18585205078125
84992.0,-362.1778793334961
85504.0,-305.83443450927734
86016.0,-276.0615234375
86528.0,-259.1219126383464
87040.0,-350.4490051269531
87552.0,-326.9150390625
88064.0,-312.8471221923828
88576.0,-349.968510945638
89088.0,-252.68831380208334
89600.0,-293.25123087565106
90112.0,-191.49274190266928
90624.0,-284.07086181640625
91136.0,-330.5171610514323
91648.0,-265.6753184000651
92160.0,-285.42125447591144
92672.0,-307.88262939453125
93184.0,-261.3445231119792
93696.0,-282.63739013671875
94208.0,-310.8044077555339
94720.0,-309.35619099934894
95232.0,-332.3022969563802
95744.0,-303.67723083496094
96256.0,-332.3082784016927
96768.0,-293.12843831380206
97280.0,-282.11337025960285
97792.0,-298.70994567871094
98304.0,-296.3339385986328
98816.0,-283.7566731770833
99328.0,-218.10486348470053
99840.0,-328.5520528157552
