Step,Reward
2048.0,-127.0
4096.0,-214.6999969482422
6144.0,-296.1666564941406
8192.0,-408.2708333333333
10240.0,-417.82349650065106
12288.0,-446.96875
14336.0,-444.5677083333333
16384.0,-449.6666666666667
18432.0,-469.06111399332684
20480.0,-464.3999989827474
22528.0,-468.6666666666667
24576.0,-471.1666666666667
26624.0,-475.2916666666667
28672.0,-465.0166651407878
30720.0,-467.46666463216144
32768.0,-475.0
34816.0,-478.3888905843099
36864.0,-414.57143147786456
38912.0,-429.8730163574219
40960.0,-422.3888854980469
43008.0,-405.2000020345052
45056.0,-479.7083333333333
47104.0,-486.75
49152.0,-435.9166666666667
51200.0,-419.30555216471356
53248.0,-441.4583333333333
55296.0,-445.8333333333333
57344.0,-448.26190185546875
59392.0,-450.34999593098956
61440.0,-456.07618204752606
63488.0,-469.7999979654948
65536.0,-423.8333333333333
67584.0,-467.74444580078125
69632.0,-464.4722188313802
71680.0,-454.5833333333333
73728.0,-447.55555216471356
75776.0,-433.7142842610677
77824.0,-420.3407389322917
79872.0,-396.3095194498698
81920.0,-442.2222188313802
83968.0,-415.4047597249349
86016.0,-430.26666259765625
88064.0,-432.7857157389323
90112.0,-394.5833333333333
92160.0,-462.7678578694661
94208.0,-482.09523518880206
96256.0,-466.70238240559894
98304.0,-450.8888854980469
