Step,Reward
4096.0,-299.83131408691406
8192.0,-286.0843048095703
12288.0,-318.9861195882161
16384.0,-304.43520100911456
20480.0,-354.0527750651042
24576.0,-353.63165283203125
28672.0,-365.40166727701825
32768.0,-387.94208272298175
36864.0,-386.2343292236328
40960.0,-376.9100850423177
45056.0,-351.1748911539714
49152.0,-365.14720662434894
53248.0,-381.063237508138
57344.0,-366.42909240722656
61440.0,-348.65428670247394
65536.0,-399.2294667561849
69632.0,-381.5176951090495
73728.0,-355.4504038492839
77824.0,-352.3433888753255
81920.0,-382.4429575602214
86016.0,-369.0402577718099
90112.0,-400.91693115234375
94208.0,-352.0083363850911
98304.0,-351.8672231038411
