Step,Reward
4096.0,-195.7857208251953
8192.0,-408.5238087972005
12288.0,-405.50793626573346
16384.0,-402.90740966796875
20480.0,-407.20707024468317
24576.0,-403.5370381673177
28672.0,-402.1660563151042
32768.0,-409.72426350911456
36864.0,-406.8041687011719
40960.0,-402.64093017578125
45056.0,-407.0828348795573
49152.0,-416.9761912027995
53248.0,-411.8431396484375
57344.0,-417.07843017578125
61440.0,-411.875
65536.0,-414.1568603515625
69632.0,-410.8958333333333
73728.0,-418.4561411539714
77824.0,-414.6444447835286
81920.0,-414.6666666666667
86016.0,-414.1568603515625
90112.0,-417.1333312988281
94208.0,-422.313720703125
98304.0,-420.5416666666667
