Step,Reward
2048.0,-127.0
4096.0,-200.0
6144.0,-167.72727966308594
8192.0,-389.44444274902344
10240.0,-384.1555531819661
12288.0,-387.3111114501953
14336.0,-378.26190694173175
16384.0,-380.3111114501953
18432.0,-379.5416666666667
20480.0,-380.1666666666667
22528.0,-389.52777608235675
24576.0,-385.1212107340495
26624.0,-383.7948710123698
28672.0,-380.43333435058594
30720.0,-416.55555725097656
32768.0,-394.39394124348956
34816.0,-402.93939208984375
36864.0,-402.81818135579425
38912.0,-392.0416666666667
40960.0,-412.5454559326172
43008.0,-403.8095245361328
45056.0,-397.1000010172526
47104.0,-410.9629618326823
49152.0,-406.19444274902344
51200.0,-384.3666687011719
53248.0,-420.23809814453125
55296.0,-411.77777608235675
57344.0,-393.6666666666667
59392.0,-448.47618611653644
61440.0,-429.90476481119794
63488.0,-434.7142842610677
65536.0,-425.1111145019531
67584.0,-446.0833333333333
69632.0,-435.25
71680.0,-448.6666666666667
73728.0,-477.9583333333333
75776.0,-419.04761759440106
77824.0,-443.0
79872.0,-459.3333333333333
81920.0,-386.5
83968.0,-476.25
86016.0,-454.1904805501302
88064.0,-437.2222188313802
90112.0,-384.8333333333333
92160.0,-475.62962849934894
94208.0,-480.7222188313802
96256.0,-454.7777811686198
98304.0,-462.5833333333333
