Step,Reward
4096.0,-299.83131408691406
8192.0,-287.76820373535156
12288.0,-282.77484130859375
16384.0,-268.4486440022786
20480.0,-301.70763142903644
24576.0,-261.4035237630208
28672.0,-280.3270772298177
32768.0,-267.3655090332031
36864.0,-262.10948689778644
40960.0,-264.93224080403644
45056.0,-274.89475504557294
49152.0,-268.85926310221356
53248.0,-233.4927012125651
57344.0,-251.34796142578125
61440.0,-216.23807779947916
65536.0,-212.73853556315103
69632.0,-218.36050415039062
73728.0,-216.54390970865884
77824.0,-218.6231892903646
81920.0,-229.691162109375
86016.0,-200.5856679280599
90112.0,-220.43024698893228
94208.0,-222.5459747314453
98304.0,-200.19803365071616
