Step,Reward
2560.0,-134.5
3072.0,-176.85714721679688
3584.0,-260.66666412353516
4608.0,-271.9499969482422
5120.0,-297.5
5632.0,-258.5
6144.0,-284.0
6656.0,-302.07142639160156
7168.0,-365.8333282470703
7680.0,-314.5
8192.0,-388.55555216471356
8704.0,-409.3333333333333
9216.0,-395.3333333333333
9728.0,-338.0
10240.0,-401.5833333333333
10752.0,-412.0
11264.0,-393.8333333333333
11776.0,-409.3333333333333
12288.0,-394.0
12800.0,-392.5
13312.0,-402.55555725097656
13824.0,-410.26666768391925
14336.0,-419.3333333333333
14848.0,-401.0
15360.0,-404.3333333333333
15872.0,-500.0
16384.0,-403.8333333333333
16896.0,-403.3333333333333
17408.0,-408.6666666666667
17920.0,-428.1666666666667
18432.0,-427.0
18944.0,-466.0
19456.0,-417.6666666666667
20480.0,-408.6666666666667
20992.0,-413.55555725097656
21504.0,-406.8333333333333
22016.0,-500.0
22528.0,-429.3333333333333
23040.0,-447.6666666666667
23552.0,-473.3333333333333
24064.0,-430.3333333333333
26112.0,-445.1111145019531
26624.0,-449.1666666666667
27136.0,-437.8333333333333
27648.0,-461.44444783528644
28160.0,-466.3333333333333
28672.0,-500.0
29184.0,-399.0
29696.0,-461.4166666666667
30208.0,-454.5
30720.0,-426.3333333333333
31232.0,-409.0
31744.0,-431.8333333333333
32256.0,-409.3333333333333
32768.0,-397.0
33280.0,-421.2222188313802
33792.0,-419.1666666666667
34304.0,-393.0
34816.0,-449.6666666666667
35328.0,-500.0
35840.0,-500.0
36352.0,-390.5
36864.0,-402.6666666666667
37376.0,-468.9444444444444
37888.0,-387.6666666666667
38400.0,-453.75
38912.0,-500.0
39424.0,-500.0
39936.0,-500.0
40448.0,-500.0
40960.0,-499.03703477647565
41472.0,-384.6666666666667
41984.0,-447.1666666666667
42496.0,-500.0
43520.0,-500.0
44032.0,-445.0
44544.0,-500.0
45056.0,-500.0
45568.0,-451.2777786254883
46080.0,-500.0
46592.0,-500.0
47616.0,-500.0
48128.0,-500.0
48640.0,-500.0
49664.0,-500.0
50688.0,-500.0
51712.0,-500.0
52224.0,-500.0
52736.0,-500.0
53760.0,-437.88888888888886
54272.0,-500.0
54784.0,-500.0
55296.0,-500.0
55808.0,-486.6666666666667
56320.0,-500.0
56832.0,-499.6388880411784
57344.0,-499.51851738823785
57856.0,-447.6666666666667
58880.0,-500.0
59904.0,-500.0
60416.0,-500.0
60928.0,-500.0
61440.0,-446.25
61952.0,-500.0
62464.0,-500.0
63488.0,-500.0
64000.0,-500.0
64512.0,-500.0
65536.0,-500.0
66048.0,-454.3333333333333
66560.0,-500.0
67584.0,-500.0
68096.0,-500.0
68608.0,-500.0
69120.0,-500.0
69632.0,-456.7777786254883
70144.0,-500.0
70656.0,-500.0
71168.0,-464.6666666666667
71680.0,-500.0
72192.0,-500.0
72704.0,-500.0
73216.0,-499.27777608235675
73728.0,-469.77777777777777
74752.0,-500.0
75776.0,-500.0
76288.0,-500.0
76800.0,-500.0
77312.0,-464.6666666666667
77824.0,-500.0
78336.0,-500.0
79360.0,-500.0
79872.0,-500.0
80384.0,-500.0
81408.0,-500.0
81920.0,-458.8333333333333
82432.0,-500.0
83456.0,-500.0
83968.0,-500.0
84480.0,-500.0
84992.0,-500.0
85504.0,-454.3333333333333
86016.0,-500.0
86528.0,-500.0
87552.0,-500.0
88064.0,-500.0
88576.0,-500.0
89600.0,-498.91666412353516
90112.0,-439.5555555555555
90624.0,-500.0
91648.0,-500.0
92160.0,-500.0
92672.0,-500.0
93184.0,-454.6666666666667
93696.0,-429.3333333333333
94208.0,-500.0
94720.0,-500.0
95232.0,-500.0
95744.0,-459.6666666666667
96256.0,-500.0
96768.0,-500.0
97280.0,-500.0
97792.0,-500.0
98816.0,-500.0
99840.0,-500.0
