Step,Reward
4096.0,-195.7857208251953
8192.0,-408.7928924560547
12288.0,-398.1205071343316
16384.0,-403.2291666666667
20480.0,-398.4884253607856
24576.0,-408.2708333333333
28672.0,-396.46875
32768.0,-398.25
36864.0,-396.15277608235675
40960.0,-395.96490987141925
45056.0,-336.22222391764325
49152.0,-397.56444295247394
53248.0,-393.9275360107422
57344.0,-397.3968251546224
61440.0,-400.38596598307294
65536.0,-394.55555725097656
69632.0,-398.94444274902344
73728.0,-394.76666768391925
77824.0,-399.25396728515625
81920.0,-402.24561564127606
86016.0,-398.8840586344401
90112.0,-396.6111094156901
94208.0,-402.6349182128906
98304.0,-410.0
