Step,Reward
2048.0,-189.54250844319662
4096.0,-308.7437032063802
6144.0,-310.03651428222656
8192.0,-305.076899210612
10240.0,-281.6896464029948
12288.0,-280.885503133138
14336.0,-274.64540100097656
16384.0,-295.5585072835286
18432.0,-313.22931416829425
20480.0,-297.387446085612
22528.0,-337.31199645996094
24576.0,-293.73663330078125
26624.0,-313.6951395670573
28672.0,-322.2962188720703
30720.0,-297.98459879557294
32768.0,-349.0275370279948
34816.0,-291.5872497558594
36864.0,-302.90138244628906
38912.0,-331.3279774983724
40960.0,-319.5665232340495
43008.0,-309.52821350097656
45056.0,-327.8500061035156
47104.0,-315.92469787597656
49152.0,-290.85691324869794
51200.0,-375.7946472167969
53248.0,-327.6160837809245
55296.0,-309.6610565185547
57344.0,-268.53045145670575
59392.0,-315.719482421875
61440.0,-296.8035583496094
63488.0,-299.04469807942706
65536.0,-287.5868835449219
67584.0,-299.9423319498698
69632.0,-308.63829549153644
71680.0,-311.2937774658203
73728.0,-314.8898468017578
75776.0,-293.11407470703125
77824.0,-323.8519287109375
79872.0,-303.87070719401044
81920.0,-304.6719716389974
83968.0,-297.31773885091144
86016.0,-287.9226481119792
88064.0,-307.15467834472656
90112.0,-258.3480682373047
92160.0,-303.2174936930339
94208.0,-299.2840881347656
96256.0,-295.8564809163411
98304.0,-327.31968180338544
