Step,Reward
1024.0,30.025432586669922
2048.0,38.74022547403971
3072.0,46.5860538482666
4096.0,56.09956741333008
5120.0,57.38562202453613
6144.0,55.84289423624674
7168.0,57.05913988749186
8192.0,66.48803456624348
9216.0,65.91746012369792
10240.0,57.27933247884115
11264.0,56.23650932312012
12288.0,63.18300755818685
13312.0,68.73198827107747
14336.0,67.67063522338867
15360.0,72.2058817545573
16384.0,72.69495137532552
17408.0,71.0886713663737
18432.0,70.20773824055989
19456.0,78.95144653320312
20480.0,73.5353520711263
21504.0,109.38651021321614
22528.0,94.92307790120442
23552.0,114.1888910929362
24576.0,89.10915883382161
25600.0,104.12991587320964
26624.0,110.89705912272136
27648.0,98.03809102376302
28672.0,92.44781239827473
29696.0,93.8927739461263
30720.0,102.0
31744.0,120.02188618977864
32768.0,121.69246164957683
33792.0,121.57010396321614
34816.0,127.03240712483723
35840.0,115.35555775960286
36864.0,139.55433146158853
37888.0,125.30681864420573
38912.0,97.92857106526692
39936.0,128.81944529215494
40960.0,120.32592264811198
41984.0,132.6267827351888
43008.0,108.93888854980469
44032.0,115.37777964274089
45056.0,116.08333333333333
46080.0,136.65555572509766
47104.0,136.63817850748697
48128.0,119.1984125773112
49152.0,143.2518513997396
50176.0,118.55237833658855
51200.0,142.75
52224.0,120.58888753255208
53248.0,137.28888956705728
54272.0,131.88989766438803
55296.0,160.9740753173828
56320.0,128.93809509277344
57344.0,132.85606129964194
58368.0,162.55714162190756
59392.0,132.95714314778647
60416.0,129.63426208496094
61440.0,133.63332875569662
62464.0,131.14988962809244
63488.0,129.43650563557944
64512.0,134.37142435709634
65536.0,153.476193745931
66560.0,168.59722391764322
67584.0,147.5857137044271
68608.0,139.75627899169922
69632.0,143.22486623128256
70656.0,143.7849909464518
71680.0,139.61111195882162
72704.0,122.61110941569011
73728.0,121.33638509114583
74752.0,133.30555725097656
75776.0,154.27747090657553
76800.0,150.03968302408853
77824.0,152.61111195882162
78848.0,132.0
79872.0,205.76190439860025
80896.0,199.66666666666666
81920.0,202.23992665608725
82944.0,142.93809509277344
83968.0,186.97272745768228
84992.0,132.70370483398438
86016.0,254.45555369059244
87040.0,155.10570017496744
88064.0,241.3111089070638
89088.0,246.5795466105143
90112.0,210.08928426106772
91136.0,261.84722391764325
92160.0,238.1888910929362
93184.0,265.6285756429036
94208.0,146.1111094156901
95232.0,226.66666666666666
96256.0,234.81481424967447
97280.0,211.1750005086263
98304.0,259.1965840657552
99328.0,159.23484802246094
