Step,Reward
4096.0,-299.83131408691406
8192.0,-279.0181630452474
12288.0,-318.4341735839844
16384.0,-314.9782002766927
20480.0,-301.2434336344401
24576.0,-298.5613657633464
28672.0,-313.5118916829427
32768.0,-325.55137634277344
36864.0,-337.3822275797526
40960.0,-300.883544921875
45056.0,-309.6210174560547
49152.0,-288.89536539713544
53248.0,-292.77695719401044
57344.0,-296.50348409016925
61440.0,-278.5602518717448
65536.0,-310.62920633951825
69632.0,-287.27244567871094
73728.0,-305.96592203776044
77824.0,-285.96107991536456
81920.0,-309.14125061035156
86016.0,-282.7778778076172
90112.0,-293.570795694987
94208.0,-287.9398905436198
98304.0,-278.71502685546875
