Step,Reward
2048.0,-127.0
4096.0,-187.0
6144.0,-252.61538696289062
8192.0,-385.9166666666667
10240.0,-388.96666463216144
12288.0,-392.3809509277344
14336.0,-382.1000010172526
16384.0,-394.02777608235675
18432.0,-364.44444529215497
20480.0,-345.0353495279948
22528.0,-384.2755090622675
24576.0,-382.522221883138
26624.0,-372.02049546014695
28672.0,-305.9833297729492
30720.0,-349.1692446754093
32768.0,-383.9166666666667
34816.0,-287.03457714262464
36864.0,-352.94444783528644
38912.0,-374.79183669317337
40960.0,-391.0675964355469
43008.0,-361.1102026076544
45056.0,-323.3888905843099
47104.0,-380.42856852213544
49152.0,-411.55555725097656
51200.0,-364.22222391764325
53248.0,-402.25
55296.0,-402.40476481119794
57344.0,-386.5
59392.0,-394.1107177734375
61440.0,-402.2916666666667
63488.0,-392.6161600748698
65536.0,-399.28888448079425
67584.0,-398.8313496907552
69632.0,-397.6111145019531
71680.0,-416.5904846191406
73728.0,-431.06944783528644
75776.0,-448.2888895670573
77824.0,-430.4095153808594
79872.0,-458.59999593098956
81920.0,-470.6666666666667
83968.0,-486.8666687011719
86016.0,-457.125
88064.0,-445.6666666666667
90112.0,-403.3333333333333
92160.0,-471.25
94208.0,-477.75238037109375
96256.0,-456.0833333333333
98304.0,-441.3444519042969
