Step,Reward
2048.0,-127.0
4096.0,-190.60000610351562
6144.0,-176.10000610351562
8192.0,-396.7037048339844
10240.0,-392.3333333333333
12288.0,-397.2820536295573
14336.0,-393.7916666666667
16384.0,-399.8484853108724
18432.0,-396.025639851888
20480.0,-391.23333231608075
22528.0,-396.23333231608075
24576.0,-394.5
26624.0,-395.7142842610677
28672.0,-392.1481475830078
30720.0,-391.44444274902344
32768.0,-391.76190694173175
34816.0,-396.44444274902344
36864.0,-392.62962849934894
38912.0,-406.02777608235675
40960.0,-394.8999989827474
43008.0,-392.6666666666667
45056.0,-401.1666666666667
47104.0,-401.6666666666667
49152.0,-402.1111094156901
51200.0,-403.46666463216144
53248.0,-402.07407633463544
55296.0,-405.1851857503255
57344.0,-404.1794891357422
59392.0,-397.1481475830078
61440.0,-394.18181864420575
63488.0,-400.6666666666667
65536.0,-388.73333231608075
67584.0,-392.2142842610677
69632.0,-386.75
71680.0,-396.77777608235675
73728.0,-388.53333536783856
75776.0,-397.59259033203125
77824.0,-395.0238087972005
79872.0,-390.6666666666667
81920.0,-396.3666687011719
83968.0,-399.3333333333333
86016.0,-397.46153767903644
88064.0,-403.3030293782552
90112.0,-390.8333333333333
92160.0,-393.7142842610677
94208.0,-386.47222391764325
96256.0,-391.3333333333333
98304.0,-396.7948710123698
