Step,Reward
1024.0,-293.5361836751302
1536.0,-323.2430775960286
2048.0,-380.93613688151044
2560.0,-375.64666239420575
3072.0,-266.73460388183594
3584.0,-326.55552673339844
4096.0,-185.4843012491862
4608.0,-268.73731994628906
5120.0,-330.2469889322917
5632.0,-293.5467580159505
6144.0,-327.9524434407552
6656.0,-311.2819519042969
7168.0,-283.84119923909503
7680.0,-277.91449483235675
8192.0,-224.4847208658854
8704.0,-260.35614013671875
9216.0,-331.11096954345703
9728.0,-254.52985127766928
10240.0,-305.17969767252606
10752.0,-251.1979522705078
11264.0,-336.243901570638
11776.0,-326.3267517089844
12288.0,-297.1265563964844
12800.0,-292.1711018880208
13312.0,-350.42506408691406
13824.0,-258.00042215983075
14336.0,-340.0040028889974
14848.0,-332.2947642008464
15360.0,-391.6304880777995
15872.0,-341.3976186116536
16384.0,-327.05742899576825
16896.0,-312.52410888671875
17408.0,-319.55628458658856
17920.0,-310.8099110921224
18432.0,-319.19716389973956
18944.0,-308.5928548177083
19456.0,-377.1324717203776
19968.0,-340.3473612467448
20480.0,-325.44683837890625
20992.0,-274.59698994954425
21504.0,-330.3433583577474
22016.0,-332.76158142089844
22528.0,-275.90748596191406
23040.0,-382.29132080078125
23552.0,-365.15362548828125
24064.0,-376.7093098958333
24576.0,-338.24102274576825
25088.0,-342.4635264078776
25600.0,-330.44000244140625
26112.0,-369.8215688069661
26624.0,-304.4621124267578
27136.0,-338.30665588378906
27648.0,-366.76857503255206
28160.0,-263.9974365234375
28672.0,-256.27452596028644
29184.0,-297.85543060302734
29696.0,-292.00746154785156
30208.0,-314.1317494710286
30720.0,-276.99399820963544
31232.0,-152.23164876302084
31744.0,-269.6180725097656
32256.0,-279.2634785970052
32768.0,-295.79042053222656
33280.0,-290.4609832763672
33792.0,-301.7406311035156
34304.0,-237.9925537109375
34816.0,-204.0583953857422
35328.0,-247.99718729654947
35840.0,-274.75907135009766
36352.0,-263.1256052652995
36864.0,-243.4875055948893
37376.0,-266.9719746907552
37888.0,-282.49168395996094
38400.0,-316.3784993489583
38912.0,-245.55965169270834
39424.0,-247.9143498738607
39936.0,-289.7591094970703
40448.0,-251.32958984375
40960.0,-236.12033081054688
41472.0,-272.7942403157552
41984.0,-251.30403645833334
42496.0,-311.80406697591144
43008.0,-272.88316853841144
43520.0,-270.71706136067706
44032.0,-278.0679016113281
44544.0,-279.8485616048177
45056.0,-252.90336100260416
45568.0,-241.05036417643228
46080.0,-243.44607543945312
46592.0,-303.03737386067706
47104.0,-208.80768839518228
47616.0,-220.1555379231771
48128.0,-227.1578114827474
48640.0,-231.34094746907553
49152.0,-237.87456258138022
49664.0,-294.55573018391925
50176.0,-375.47400919596356
50688.0,-335.85651143391925
51200.0,-284.4090321858724
51712.0,-309.1339925130208
52224.0,-340.9126892089844
52736.0,-249.60705057779947
53248.0,-325.55005900065106
53760.0,-286.2071787516276
54272.0,-271.5408579508464
54784.0,-240.36938985188803
55296.0,-299.64560953776044
55808.0,-276.6016438802083
56320.0,-283.8113149007161
56832.0,-292.18096923828125
57344.0,-296.062006632487
57856.0,-335.2184651692708
58368.0,-248.65635681152344
58880.0,-300.70239512125653
59392.0,-336.17686462402344
59904.0,-197.16937510172525
60416.0,-212.73066202799478
60928.0,-190.75304667154947
61440.0,-300.71791076660156
61952.0,-262.55385335286456
62464.0,-140.85665384928384
62976.0,-247.5472157796224
63488.0,-227.85997009277344
64000.0,-317.37079366048175
64512.0,-226.63554890950522
65024.0,-273.91278584798175
65536.0,-237.7978973388672
66048.0,-199.06820170084634
66560.0,-221.4621836344401
67072.0,-227.56165568033853
67584.0,-261.9946645100911
68096.0,-241.0228017171224
68608.0,-215.37416076660156
69120.0,-316.10133870442706
69632.0,-309.49937438964844
70144.0,-270.3024368286133
70656.0,-187.10803985595703
71168.0,-204.854736328125
71680.0,-175.5302937825521
72192.0,-190.83537801106772
72704.0,-182.6018829345703
73216.0,-224.26764933268228
73728.0,-235.50017801920572
74240.0,-205.91356658935547
74752.0,-214.6270751953125
75264.0,-274.71791585286456
75776.0,-246.43989054361978
76288.0,-238.3624267578125
76800.0,-148.7299550374349
77312.0,-183.68788146972656
77824.0,-221.30943806966147
78336.0,-210.8357187906901
78848.0,-157.45147450764975
79360.0,-201.62107849121094
79872.0,-211.86441040039062
80384.0,-239.41246032714844
80896.0,-274.60332743326825
81408.0,-305.84912109375
81920.0,-228.80752563476562
82432.0,-197.6703084309896
82944.0,-228.41704305013022
83456.0,-189.85610961914062
83968.0,-334.52052307128906
84480.0,-202.16815439860025
84992.0,-209.8304672241211
85504.0,-214.26527404785156
86016.0,-222.80058797200522
86528.0,-275.6314697265625
87040.0,-267.46531931559247
87552.0,-265.3712514241536
88064.0,-293.84747314453125
88576.0,-334.24330647786456
89088.0,-242.80130767822266
89600.0,-330.22543080647785
90112.0,-204.2051747639974
90624.0,-255.85784403483072
91136.0,-311.72901916503906
91648.0,-304.2116394042969
92160.0,-417.45896402994794
92672.0,-289.1777801513672
93184.0,-314.19568888346356
93696.0,-289.5475336710612
94208.0,-270.204584757487
94720.0,-283.81349182128906
95232.0,-277.57456970214844
95744.0,-239.41089884440103
96256.0,-205.3108113606771
96768.0,-498.30638122558594
97280.0,-207.9520263671875
97792.0,-233.25334676106772
98304.0,-209.5675252278646
98816.0,-323.2940368652344
99328.0,-224.0142084757487
99840.0,-162.43182627360025
