Step,Reward
4096.0,-195.7857208251953
8192.0,-407.94117736816406
12288.0,-411.2745107014974
16384.0,-402.87037150065106
20480.0,-397.2361094156901
24576.0,-399.8730163574219
28672.0,-396.21666463216144
32768.0,-392.7681172688802
36864.0,-392.8400014241536
40960.0,-393.01666768391925
45056.0,-396.62318929036456
49152.0,-396.95238240559894
53248.0,-398.4545440673828
57344.0,-394.6333312988281
61440.0,-398.6666666666667
65536.0,-396.375
69632.0,-394.3968251546224
73728.0,-393.2051289876302
77824.0,-391.96490987141925
81920.0,-394.53846232096356
86016.0,-390.22727457682294
90112.0,-392.93939208984375
94208.0,-392.39394124348956
98304.0,-398.6956532796224
