Step,Reward
4096.0,-195.7857208251953
8192.0,-412.24107360839844
12288.0,-411.7129618326823
16384.0,-400.5197347005208
20480.0,-406.17083231608075
24576.0,-415.6666666666667
28672.0,-408.2982432047526
32768.0,-415.3333333333333
36864.0,-413.4142150878906
40960.0,-412.0833333333333
45056.0,-409.5625
49152.0,-415.7111104329427
53248.0,-417.37037150065106
57344.0,-408.8958333333333
61440.0,-349.4375
65536.0,-412.1666666666667
69632.0,-415.8888905843099
73728.0,-416.9642842610677
77824.0,-388.5392150878906
81920.0,-418.7598063151042
86016.0,-404.9901936848958
90112.0,-411.0111083984375
94208.0,-415.424560546875
98304.0,-418.0833333333333
