Step,Reward
2048.0,-333.5807139078776
4096.0,-287.82684326171875
6144.0,-288.25494384765625
8192.0,-330.18422444661456
10240.0,-316.1148223876953
12288.0,-282.1839650472005
14336.0,-303.1622823079427
16384.0,-310.19200134277344
18432.0,-338.8628641764323
20480.0,-245.4321543375651
22528.0,-283.94037373860675
24576.0,-311.66844685872394
26624.0,-277.96376037597656
28672.0,-251.15899149576822
30720.0,-302.33571370442706
32768.0,-306.0074869791667
34816.0,-291.64149983723956
36864.0,-274.0111033121745
38912.0,-294.51869710286456
40960.0,-261.93255615234375
43008.0,-283.8836313883464
45056.0,-299.0705210367839
47104.0,-313.02569580078125
49152.0,-292.53367106119794
51200.0,-262.17735290527344
53248.0,-295.4879964192708
55296.0,-285.39817810058594
57344.0,-257.0014902750651
59392.0,-292.5674641927083
61440.0,-285.87159729003906
63488.0,-265.0166371663411
65536.0,-263.5690002441406
67584.0,-268.1874694824219
69632.0,-300.8057556152344
71680.0,-268.8765818277995
73728.0,-240.03722635904947
75776.0,-296.6022033691406
77824.0,-249.5781504313151
79872.0,-316.7671203613281
81920.0,-235.8824666341146
83968.0,-273.10474650065106
86016.0,-266.06334431966144
88064.0,-271.656494140625
90112.0,-257.3745524088542
92160.0,-232.54934692382812
94208.0,-292.9115295410156
96256.0,-278.3039194742839
98304.0,-247.37157185872397
